,,,,,,,,,,,
5/5/2026,,MAT,Mr/ Mde,rec/op,SPC/ IND,SITE OPALIA,AREA,SERVICE,DIRECTION,,
,,02945,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02947,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03034,Female,OPALIA,SPC,LAC,PRODUCTION,Production,Direction Industrielle,,
,,03056,Female,OPALIA,SPC,LAC,GENERAL ADMINISTRATION MANAGEMENT (G&A),Ressources Humaines,Direction des Ressources Humaines,,
,,02949,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02946,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02951,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02956,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02954,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02955,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02953,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03039,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02961,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02958,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02957,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03040,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,02969,Female,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,02968,Female,OPALIA,SPC,LAC,GENERAL ADMINISTRATION MANAGEMENT (G&A),Contrôle de Gestion,Direction Contrôle de Gestion,,
,,02873,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02975,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02979,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02986,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03043,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02985,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,03045,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,03046,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
