Matricule,HSUP75,NBREHS75,HSUP100,NBREHS100,cost HS,NB HS ,DIRECTION II,Section analytique,code
1479,,,36.974,4.18,36.974,4.18,INDUS,COND-IIAIR,COND-IIAIR
1619,,,36.599,4.25,36.599,4.25,INDUS,COND-IIAIR,COND-IIAIR
2481,,,33.874,4.27,33.874,4.27,INDUS,COND-IIAIR,COND-IIAIR
1868,,,43.392,4.58,43.392,4.58,INDUS,COND-IIAIR,COND-IIAIR
1135,,,48.337,5,48.337,5,INDUS,COND-IIAIR,COND-IIAIR
2325,,,39.491,5.13,39.491,5.13,INDUS,COND-IIAIR,COND-IIAIR
1549,,,49.453,5.17,49.453,5.17,INDUS,COND-IIAIR,COND-IIAIR
1448,,,50.386,5.33,50.386,5.33,INDUS,COND-IIAIR,COND-IIAIR
1816,,,43.386,5.42,43.386,5.42,INDUS,COND-IIAIR,COND-IIAIR
1575,,,43.851,5.43,43.851,5.43,INDUS,COND-IIAIR,COND-IIAIR
817,,,91.994,5.47,91.994,5.47,INDUS,COND-IIAIR,COND-IIAIR
2470,,,57.187,6.58,57.187,6.58,INDUS,COND-IIAIR,COND-IIAIR
1742,,,52.631,6.72,52.631,6.72,INDUS,COND-IIAIR,COND-IIAIR
1253,,,69.17,7,69.17,7,INDUS,COND-IIAIR,COND-IIAIR
1737,,,98.409,7.25,98.409,7.25,INDUS,COND-IIAIR,COND-IIAIR
2853,,,56.002,7.27,56.002,7.27,INDUS,COND-IIAIR,COND-IIAIR
3036,,,44.328,8.18,44.328,8.18,INDUS,COND-IIAIR,COND-IIAIR
1579,5.93,0.5,,,5.93,0.5,INDUS,CQ,CQ
1595,7.538,0.65,,,7.538,0.65,INDUS,CQ,CQ
2315,8.293,0.67,,,8.293,0.67,INDUS,CQ,CQ
2780,22.874,1.93,,,22.874,1.93,INDUS,CQ,CQ
2810,24.789,2.58,,,24.789,2.58,INDUS,CQ,CQ
2341,32.38,3.37,,,32.38,3.37,INDUS,CQ,CQ
717,,,151.48,7.92,151.48,7.92,INDUS,CQ,CQ
2873,,,149.383,9.5,149.383,9.5,INDUS,CQ,CQ
3045,55.57,6.35,44.206,4.42,99.776,10.77,INDUS,CQ,CQ
1989,270.558,13.9,,,270.558,13.9,INDUS,CQ,CQ
2662,73.433,8.17,71.905,7,145.338,15.17,INDUS,CQ,CQ
964,42.238,2.5,270.324,14,312.562,16.5,INDUS,CQ,CQ
2394,516.306,37.5,,,516.306,37.5,INDUS,CQ,CQ
2841,2.796,0.22,,,2.796,0.22,RD,DEVAMM,DEVAMM
1823,,,46.331,4.5,46.331,4.5,INDUS,DIR-INDUS,MOI
7,145.208,4.6,,,145.208,4.6,INDUS,DIR-INDUS,MOI
1634,,,85.718,5,85.718,5,INDUS,DIR-INDUS,MOI
1814,,,116.062,6.67,116.062,6.67,INDUS,DIR-INDUS,MOI
1379,30.027,2.87,,,30.027,2.87,INDUS,EHS,EHS
2264,,,37.731,5.07,37.731,5.07,INDUS,EHS,EHS
927,15.167,1.67,42.868,4.13,58.035,5.8,INDUS,EHS,EHS
804,51,6.05,,,51,6.05,INDUS,EHS,EHS
2706,5.822,1.02,39.139,6,44.961,7.02,INDUS,EHS,EHS
2422,,,58.213,8,58.213,8,INDUS,EHS,EHS
677,107.282,10.27,,,107.282,10.27,INDUS,EHS,EHS
2942,,,62.59,11.55,62.59,11.55,INDUS,EHS,EHS
2377,35.602,5.12,80.821,10.17,116.423,15.29,INDUS,EHS,EHS
832,,,173.27,15.37,173.27,15.37,INDUS,EHS,EHS
469,29.188,1.25,,,29.188,1.25,INDUS,FABRIQUANT,FABRIQUANT
1706,7.701,1.12,10.059,1.28,17.76,2.4,INDUS,FABRIQUANT,FABRIQUANT
1351,,,56.721,3,56.721,3,INDUS,FABRIQUANT,FABRIQUANT
2517,,,76.923,3.5,76.923,3.5,INDUS,FABRIQUANT,FABRIQUANT
1077,27.393,3.6,,,27.393,3.6,INDUS,FABRIQUANT,FABRIQUANT
1655,,,88.404,4,88.404,4,INDUS,FABRIQUANT,FABRIQUANT
1293,,,74.872,4.33,74.872,4.33,INDUS,FABRIQUANT,FABRIQUANT
1710,,,51.388,7,51.388,7,INDUS,FABRIQUANT,FABRIQUANT
2390,,,57.245,7,57.245,7,INDUS,FABRIQUANT,FABRIQUANT
2530,,,184.602,7,184.602,7,INDUS,FABRIQUANT,FABRIQUANT
