Matricule,AUT (h),Jours travaillés,Heures travaillées,Heures SUP 75%,Heures SUP SAMEDI,HEURE SUP DIMANCHE,Missions (h),Formations (h),Congés payés (h),MALADIE,Maternité,DECES 3J,NAISSANCE2/DECES2,Sanctions,mariage,Absence autorisée rémunérée,Congé sans solde,RCJ/RCA,Accidents,ABSENCE NON JUSTIFIE,Circoncision enfant,Service,Sous service,Section analytique,Site courant,Direction,Emploi type,Sexe du salarié
00007,,18.00,163.78,,,,,,27.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
00013,2.00,17.11,154.10,,,,,,22.50,,,,,,,,,,,,,DIR. GENERALE,DIRECTION GENERALE,DG,LAC,GA,,Féminin
00041,1.00,18.90,172.92,,,,,,18.00,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
00042,3.00,19.59,179.01,,,,,,4.50,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,PAIE ET CAISSE,DAF,KAL,GA,,Féminin
00075,2.00,17.78,170.66,,,,,,22.50,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Féminin
00086,0.50,18.94,173.47,,,,,,13.50,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Féminin
00096,0.50,17.90,166.28,1.00,,,,,13.50,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
00107,,17.00,155.57,,,,,,29.25,,,,,,,,,4.50,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00112,,11.00,99.00,,,,53.00,,40.50,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_12,LAC,FOE,FF-MANAGER,Masculin
00120,,21.00,184.50,,,,,,,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,DIRECTION ADMIN. ET FINANC.,DAF,KAL,GA,DIRECTEUR,Masculin
00210,,19.53,180.38,,,,,,,,,,,,,,,9.00,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00221,,19.45,177.82,,,,,,9.00,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Féminin
00230,,18.02,165.88,,,,9.00,,13.50,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,COMPTABILITE,DAF,KAL,GA,,Masculin
00259,,21.00,184.50,,,,,,,,,,,,,,,,,,,DIR. INTERNATIONAL SALES,MARKETING,SHO-EXPORT,LAC,SHO,SA-MANAGER,Masculin
00294,,17.95,171.33,,,,,,9.00,,,,,,,,,4.50,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00300,2.00,15.78,162.43,,,,,,22.50,,,,,,,,,18.00,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00303,,18.50,169.44,,,,,,18.00,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00304,4.00,15.56,159.29,,,,,,13.50,,,,,,,,,27.00,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00307,,,,,,,,,,236.86,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00327,0.50,18.43,168.89,,,,,,22.50,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,,Féminin
00329,,15.99,155.76,,,,,,31.50,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
00332,2.00,13.75,141.15,,,,,,40.50,,,,,,,,,18.00,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00361,,4.85,43.51,,,,135.00,,9.00,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,ADMINISTRATION,AFF-JUR,KAL,GA,,Féminin
00361,,4.85,43.51,,,,135.00,,9.00,,,,,,,,,,,,,AFFAIRES JURIDIQUES,AFFAIRES JURIDUQUES,AFF-JUR,KAL,GA,,Féminin
00372,,14.50,149.44,,,,,,22.50,,,,,,,,13.50,18.00,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00386,,13.99,130.88,,,,,,63.00,,,,,,,,,,,,,DIR. DES OPERATIONS,MARKETING,SHO,LAC,SHO,,Féminin
00396,,18.50,166.45,,,,9.00,,13.50,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00399,,18.00,174.11,,,,,,13.50,,,,,,,,,9.00,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,COND-IIAIR,KAL,INDUS,,Féminin
00399,,18.00,174.11,,,,,,13.50,,,,,,,,,9.00,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
