Matricule,AUT (h),Jours travaillés,Heures travaillées,Heures SUP 75%,Heures SUP SAMEDI,HEURE SUP DIMANCHE,Missions (h),Formations (h),Congés payés (h),MALADIE,Maternité,DECES 3J,NAISSANCE2/DECES2,Sanctions,mariage,Absence autorisée rémunérée,Congé sans solde,RCJ/RCA,Accidents,ABSENCE NON JUSTIFIE,Circoncision enfant,Service,Sous service,Section analytique,Site courant,Direction,Emploi type,Sexe du salarié
00007,,20.00,184.36,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
00011,2.00,15.62,143.74,,,,1.00,,,,,,,,,,,,,9.00,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Féminin
00013,2.00,19.78,181.66,,,,,,,,,,,,,,,,,,,DIR. GENERALE,DIRECTION GENERALE,DG,LAC,GA,,Féminin
00041,2.00,18.21,172.70,2.50,12.00,,,,13.50,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
00042,,20.00,182.37,,,,,,,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,PAIE ET CAISSE,DAF,KAL,GA,,Féminin
00075,,19.00,172.96,,,,,,,,,,,,,9.00,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Féminin
00086,4.00,17.52,160.47,,,,,,,,,,,,,,,,,18.00,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Féminin
00096,,20.00,182.55,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
00107,2.00,19.75,182.60,3.00,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00112,,20.00,180.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_12,LAC,FOE,FF-MANAGER,Masculin
00120,,20.00,180.00,,,,,,,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,DIRECTION ADMIN. ET FINANC.,DAF,KAL,GA,DIRECTEUR,Masculin
00134,,17.78,164.06,5.25,21.00,,31.50,,9.00,,,,,,,9.00,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00210,,19.00,175.74,,,,,,9.00,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00221,,12.17,109.83,,,,,,22.50,,,,18.00,,,,,,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Féminin
00230,,19.76,184.25,,,,,,,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,COMPTABILITE,DAF,KAL,GA,,Masculin
00236,,19.00,171.00,,,,,,9.00,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_14,LAC,FOE,PHARMA,Masculin
00259,,20.00,180.00,,,,,,,,,,,,,,,,,,,DIR. INTERNATIONAL SALES,MARKETING,SHO-EXPORT,LAC,SHO,SA-MANAGER,Masculin
00265,1.00,19.89,179.74,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOD,Féminin
00294,,17.00,155.03,,,,,,27.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00300,,19.00,172.47,,7.75,,,,9.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00303,,16.00,147.81,,,,,,36.00,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00304,,19.00,172.48,,,,,,9.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00307,2.00,18.03,163.93,,,,,,,,,,,,,,9.00,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00327,1.00,16.89,153.98,,7.50,,,,9.00,,,,,,,18.00,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,,Féminin
