Matricule,AUT (h),Jours travaillés,Heures travaillées,Heures SUP 75%,Heures SUP SAMEDI,HEURE SUP DIMANCHE,Missions (h),Formations (h),Congés payés (h),MALADIE,Maternité,DECES 3J,NAISSANCE2/DECES2,Sanctions,mariage,Absence autorisée rémunérée,Congé sans solde,RCJ/RCA,Accidents,ABSENCE NON JUSTIFIE,Circoncision enfant,Service,Sous service,Section analytique,Site courant,Direction,Emploi type,Sexe du salarié
00007,1.50,19.78,179.43,,,,,,9.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
00011,,19.59,179.38,,,,,,,,,,,,,,,,,9.00,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Féminin
00013,2.00,19.52,175.58,,,,,,9.00,,,,,,,,,,,,,DIR. GENERALE,DIRECTION GENERALE,DG,LAC,GA,,Féminin
00041,3.00,20.68,210.75,1.00,11.25,,,,,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
00042,2.00,17.24,156.75,,,,13.50,,18.00,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,PAIE ET CAISSE,DAF,KAL,GA,,Féminin
00075,,20.79,188.92,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Féminin
00086,2.00,13.24,121.88,,,,,,54.00,,,,,,,,,,,9.00,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Féminin
00096,,20.80,192.23,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
00107,,20.80,190.25,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00112,,21.00,189.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_12,LAC,FOE,FF-MANAGER,Masculin
00120,,21.00,189.00,,,,,,,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,DIRECTION ADMIN. ET FINANC.,DAF,KAL,GA,DIRECTEUR,Masculin
00134,2.00,14.00,128.32,4.50,,,,,,,,,,,,,,9.00,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00210,,20.80,191.41,,,,,,,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00221,,17.26,166.01,,,,,,,,,,,,,,,13.50,,18.00,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Féminin
00230,,18.70,170.35,,,,,,18.00,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,COMPTABILITE,DAF,KAL,GA,,Masculin
00259,,21.00,189.00,,,,,,,,,,,,,,,,,,,DIR. INTERNATIONAL SALES,MARKETING,SHO-EXPORT,LAC,SHO,SA-MANAGER,Masculin
00294,,20.26,185.66,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00300,,19.79,179.92,,,,,,,,,,,,,,,,,9.00,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00303,,20.80,190.44,,,,,,,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00304,2.00,19.25,174.60,,,,,,9.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00307,,19.78,179.67,,,,,,,,,,,,,,9.00,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00327,2.00,19.54,177.99,,,,,,9.00,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,,Féminin
00329,2.00,17.51,167.85,,,,,,,,,,,,,,,,,27.00,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
00332,2.00,20.07,186.89,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00361,2.00,17.31,158.22,,,,18.00,,4.50,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,ADMINISTRATION,AFF-JUR,KAL,GA,,Féminin
00372,,20.79,189.19,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00386,0.25,19.58,179.29,,,,,,9.00,,,,,,,,,,,,,DIR. DES OPERATIONS,MARKETING,SHO,LAC,SHO,,Féminin
