matricule,department,function,age,gender,employee_sk,employment_status
7,INDUS,,,Masculin,1,Active
13,GA,,,Féminin,2,Active
41,INDUS,,,Masculin,3,Active
42,GA,,,Féminin,4,Active
75,INDUS,,,Féminin,5,Active
86,INDUS,,,Féminin,6,Active
96,INDUS,,,Masculin,7,Active
107,INDUS,,,Masculin,8,Active
112,FOE,,,Masculin,9,Active
120,GA,,,Masculin,10,Active
210,INDUS,,,Féminin,11,Active
221,INDUS,,,Féminin,12,Active
230,GA,,,Masculin,13,Active
259,SHO,,,Masculin,14,Active
294,INDUS,,,Masculin,15,Active
300,INDUS,,,Féminin,16,Active
303,INDUS,,,Féminin,17,Active
304,INDUS,,,Féminin,18,Active
307,INDUS,,,Féminin,19,Active
327,INDUS,,,Féminin,20,Active
329,INDUS,,,Masculin,21,Active
332,INDUS,,,Masculin,22,Active
361,GA,,,Féminin,23,Active
372,INDUS,,,Féminin,24,Active
386,SHO,,,Féminin,25,Active
396,INDUS,,,Féminin,26,Active
399,INDUS,,,Féminin,27,Active
402,FOE,,,Masculin,28,Active
417,INDUS,,,Féminin,29,Active
419,INDUS,,,Féminin,30,Active
420,SHO,,,Masculin,31,Active
421,INDUS,,,Féminin,32,Active
453,INDUS,,,Féminin,33,Active
469,INDUS,,,Masculin,34,Active
480,INDUS,,,Masculin,35,Active
482,INDUS,,,Féminin,36,Active
514,INDUS,,,Masculin,37,Active
530,INDUS,,,Masculin,38,Active
574,INDUS,,,Masculin,39,Active
621,INDUS,,,Féminin,40,Active
676,INDUS,,,Féminin,41,Active
677,INDUS,,,Féminin,42,Active
712,INDUS,,,Masculin,43,Active
717,INDUS,,,Féminin,44,Active
718,GA,,,Féminin,45,Active
759,INDUS,,,Féminin,46,Active
804,INDUS,,,Féminin,47,Active
817,INDUS,,,Féminin,48,Active
832,INDUS,,,Féminin,49,Active
833,INDUS,,,Féminin,50,Active
851,INDUS,,,Féminin,51,Active
856,INDUS,54.0,,Masculin,52,Active
859,INDUS,,,Masculin,53,Active
895,INDUS,,,Masculin,54,Active
902,INDUS,,,Féminin,55,Active
927,INDUS,,,Féminin,56,Active
954,INDUS,,,Féminin,57,Active
957,INDUS,,,Masculin,58,Active
961,INDUS,,,Masculin,59,Active
964,INDUS,,,Masculin,60,Active
966,INDUS,,,Masculin,61,Active
1002,FOE,,,Féminin,62,Active
1004,FOE,,,Féminin,63,Active
1010,INDUS,,,Féminin,64,Active
1030,INDUS,,,Masculin,65,Active
1033,FOE,,,Masculin,66,Active
1045,INDUS,,,Féminin,67,Active
1046,INDUS,,,Féminin,68,Active
1065,RD,,,Masculin,69,Active
1077,INDUS,,,Masculin,70,Active
1089,INDUS,,,Féminin,71,Active
1105,INDUS,,,Masculin,72,Active
1116,INDUS,,,Féminin,73,Active
1120,INDUS,,,Féminin,74,Active
1127,GA,,,Féminin,75,Active
1129,INDUS,,,Masculin,76,Active
1135,INDUS,,,Féminin,77,Active
1137,FOE,,,Féminin,78,Active
1141,FOE,,,Féminin,79,Active
1160,FOE,,,Masculin,80,Active
1181,INDUS,,,Masculin,81,Active
1198,INDUS,,,Féminin,82,Active
1204,GA,,,Masculin,83,Active
1207,INDUS,,,Masculin,84,Active
1224,INDUS,,,Masculin,85,Active
1239,FOE,,,Féminin,86,Active
1240,INDUS,,,Masculin,87,Active
1250,INDUS,,,Féminin,88,Active
1253,INDUS,,,Féminin,89,Active
1272,GA,,,Féminin,90,Active
1276,INDUS,,,Féminin,91,Active
1279,INDUS,,,Féminin,92,Active
1286,INDUS,,,Féminin,93,Active
1293,INDUS,,,Féminin,94,Active
1311,INDUS,,,Féminin,95,Active
1317,INDUS,,,Masculin,96,Active
1319,INDUS,,,Féminin,97,Active
1334,RD,,,Masculin,98,Active
1336,INDUS,,,Féminin,99,Active
1351,INDUS,,,Masculin,100,Active
1354,INDUS,,,Féminin,101,Active
1355,INDUS,,,Masculin,102,Active
1378,INDUS,,,Masculin,103,Active
1379,INDUS,,,Masculin,104,Active
1392,GA,,,Masculin,105,Active
1448,INDUS,,,Féminin,106,Active
1458,INDUS,,,Féminin,107,Active
1461,INDUS,,,Masculin,108,Active
1465,GA,,,Masculin,109,Active
1473,INDUS,,,Masculin,110,Active
1476,INDUS,,,Masculin,111,Active
1479,INDUS,,,Féminin,112,Active
1493,INDUS,,,Masculin,113,Active
1502,INDUS,,,Masculin,114,Active
1549,INDUS,,,Féminin,115,Active
1551,INDUS,,,Féminin,116,Active
1552,INDUS,,,Féminin,117,Active
1553,INDUS,,,Féminin,118,Active
1556,GA,,,Féminin,119,Active
1561,INDUS,,,Masculin,120,Active
1575,INDUS,,,Féminin,121,Active
1579,INDUS,,,Masculin,122,Active
1595,INDUS,,,Féminin,123,Active
1600,INDUS,,,Masculin,124,Active
1615,INDUS,,,Féminin,125,Active
1619,INDUS,,,Féminin,126,Active
1620,INDUS,,,Féminin,127,Active
1625,INDUS,,,Masculin,128,Active
1634,INDUS,,,Féminin,129,Active
1655,INDUS,,,Masculin,130,Active
1660,INDUS,,,Masculin,131,Active
1671,INDUS,,,Féminin,132,Active
1672,INDUS,,,Féminin,133,Active
1681,GA,,,Féminin,134,Active
