date_fk,matricule,duration_days,employee_fk
20230815,300.0,82.857142857,
20230815,759.0,185.857142857,
20230815,1129.0,130.411764705,
20230815,1452.0,96.066666666,
20230815,1675.0,269.811594202,
20230815,1679.0,250.783333333,
20230815,1753.0,88.0,
20230815,1882.0,65.684210526,
20230815,2174.0,7.916666666,
20230815,2325.0,43.0,
20230815,2390.0,96.066666666,
20230815,2799.0,180.214285714,
20240815,1116.0,24.214285714,
20240815,1286.0,221.282051282,
20240815,1549.0,270.74025974,
20240815,1671.0,17.2,
20240815,1939.0,247.787096774,
20220415,1090.0,224.596837944,
20220415,1135.0,77.189655172,
20220415,1198.0,13.0,
20220415,1317.0,6.5,
20220415,1319.0,83.0,
20220415,1385.0,26.0,
20220415,1448.0,200.5,
20220415,1452.0,205.5,
20220415,1549.0,6.5,
20220415,1551.0,13.0,
20220415,1575.0,13.0,
20220415,1619.0,15.5,
20220415,1671.0,13.0,
20220415,1679.0,6.5,
20220415,1710.0,185.59090909,
20220415,1731.0,8.5,
20220415,1737.0,31.0,
20220415,1742.0,9.0,
20220415,1745.0,13.0,
20220415,1868.0,61.133333333,
20220415,1882.0,84.5,
20220415,2139.0,64.533333333,
20220415,2174.0,6.5,
20220415,2403.0,175.74137931,
20230415,453.0,23.1,
20230415,1004.0,87.363636363,
20230415,1575.0,48.8,
20230415,1679.0,73.166666666,
20230415,1737.0,45.0,
20230415,1823.0,83.5,
20230415,1833.0,159.5,
20230415,1868.0,13.6,
20230415,2293.0,126.666666666,
20230415,2703.0,6.5,
20240415,300.0,145.862068965,
20240415,1385.0,24.857142857,
20240415,1672.0,48.666666666,
20240415,1868.0,45.0,
20240415,20010.0,19.5,
20250415,300.0,63.0,
20250415,1276.0,16.142857142,
20250415,1286.0,135.75,
20250415,1553.0,201.186274509,
20250415,1575.0,238.728260869,
20250415,1832.0,165.0,
20250415,2601.0,23.7,
20250415,20034.0,241.935672514,
20221215,677.0,262.161290322,
20221215,1089.0,9.0,
20221215,1090.0,166.5,
20221215,1731.0,33.428571428,
20221215,1737.0,41.5,
20221215,1780.0,88.0,
20221215,20020.0,9.0,
20221215,20021.0,61.6,
20231215,300.0,104.727272727,
20231215,717.0,9.0,
20231215,1286.0,61.0,
20231215,1452.0,255.554945054,
20231215,1625.0,123.0,
20231215,1672.0,51.8,
20231215,1731.0,48.8,
20231215,2844.0,253.0,
20241215,307.0,236.86,
20241215,1575.0,259.18,
20241215,2934.0,13.5,
20220115,817.0,9.0,
20220115,902.0,9.0,
20220115,1046.0,9.0,
20220115,1090.0,242.71,
20220115,1116.0,9.0,
20220115,1279.0,9.0,
20220115,1286.0,9.0,
20220115,1317.0,17.0,
20220115,1319.0,165.3,
20220115,1448.0,8.67,
20220115,1458.0,17.0,
20220115,1551.0,35.71,
20220115,1620.0,8.5,
20220115,1628.0,243.26,
20220115,1672.0,43.0,
20220115,1679.0,18.0,
20220115,2161.0,130.38,
20220115,2367.0,9.0,
20220115,2368.0,9.0,
20220115,2403.0,64.57,
20220115,2474.0,8.5,
20230115,677.0,121.52,
20230115,1780.0,67.14,
20230115,2293.0,70.22,
20230115,2761.0,13.5,
20240115,300.0,180.87,
20240115,307.0,86.0,
20240115,804.0,45.0,
20240115,1286.0,8.73,
20240115,1452.0,87.14,
20240115,1882.0,43.0,
20250115,307.0,130.0,
20250115,1089.0,235.93,
20250115,1553.0,235.1,
20250115,1575.0,244.69,
20250115,1625.0,131.0,
20250115,2601.0,61.6,
20250115,20034.0,191.5,
20220115,294.0,26.14,
20220115,469.0,9.0,
20220115,902.0,54.0,
20220115,927.0,18.0,
20220115,1030.0,183.0,
20220115,1090.0,266.7,
20220115,1207.0,27.0,
20220115,1209.0,27.0,
20220115,1250.0,25.5,
20220115,1317.0,8.5,
20220115,1319.0,95.7,
20220115,1355.0,9.0,
20220115,1385.0,9.0,
20220115,1448.0,253.33,
20220115,1452.0,243.03,
20220115,1484.0,27.0,
20220115,1486.0,157.03,
20220115,1488.0,18.0,
20220115,1545.0,9.0,
20220115,1551.0,52.29,
20220115,1575.0,9.0,
20220115,1628.0,270.29,
20220115,1675.0,269.08,
20220115,1679.0,27.0,
20220115,1690.0,88.93,
20220115,1710.0,8.5,
20220115,1731.0,17.0,
20220115,1737.0,17.5,
20220115,1745.0,27.0,
20220115,1769.0,18.0,
20220115,1816.0,9.0,
20220115,1868.0,27.0,
20220115,2161.0,131.62,
20220115,2174.0,45.0,
20220115,2481.0,18.0,
20220115,2483.0,4.5,
20220115,2562.0,18.0,
20220115,2667.0,167.6,
20230115,677.0,270.32,
20230115,759.0,87.0,
20230115,2337.0,131.0,
20230115,2606.0,122.0,
20240115,300.0,173.86,
20240115,307.0,87.0,
20240115,902.0,131.0,
20240115,1452.0,198.07,
20240115,1731.0,195.2,
20250115,307.0,268.42,
20250115,453.0,131.0,
20250115,1089.0,96.07,
20250115,1553.0,226.7,
20250115,1575.0,262.86,
20250115,1742.0,122.0,
20250115,1745.0,44.0,
20250115,2601.0,26.4,
20250715,300.0,173.08,
20250715,307.0,61.0,
20250715,1002.0,9.0,
20250715,1089.0,173.64,
20250715,1286.0,130.2,
20250715,1552.0,139.64,
20250715,1553.0,173.75,
20250715,1742.0,173.2,
20250715,2328.0,131.0,
20250715,2487.0,173.33,
20250715,2601.0,174.29,
20250715,2890.0,52.29,
20250715,3021.0,34.0,
20220615,300.0,257.39,
20220615,372.0,9.0,
20220615,804.0,259.31,
20220615,902.0,18.0,
20220615,1046.0,97.0,
20220615,1090.0,227.92,
20220615,1116.0,18.0,
20220615,1250.0,17.0,
20220615,1385.0,34.0,
20220615,1549.0,27.0,
20220615,1551.0,9.0,
20220615,1553.0,45.0,
20220615,1575.0,9.0,
20220615,1619.0,18.0,
20220615,1671.0,9.0,
20220615,1675.0,9.0,
20220615,1679.0,18.0,
20220615,1690.0,9.0,
20220615,1737.0,25.5,
20220615,1742.0,9.0,
20220615,1745.0,9.0,
20220615,1868.0,9.0,
20220615,2139.0,182.37,
20220615,2161.0,15.91,
20220615,2174.0,9.0,
20220615,2302.0,27.0,
20220615,2325.0,27.0,
20220615,2368.0,9.0,
20220615,2451.0,61.0,
20220615,2481.0,18.0,
20220615,2495.0,8.5,
20220615,2601.0,17.0,
20220615,2695.0,34.0,
20220615,2700.0,18.0,
20220615,2702.0,9.0,
20220615,2705.0,9.0,
20220615,20019.0,45.0,
20230615,300.0,157.57,
20230615,902.0,226.0,
20230615,1250.0,209.67,
20230615,1354.0,70.44,
20230615,1575.0,69.89,
20230615,1675.0,81.33,
20230615,1679.0,226.21,
20230615,1823.0,97.67,
20230615,2390.0,165.76,
20240615,307.0,248.14,
20240615,902.0,228.18,
20240615,1116.0,243.54,
20240615,1286.0,105.14,
20240615,1311.0,26.14,
20240615,1672.0,199.0,
20240615,1710.0,209.14,
20240615,1745.0,45.0,
20240615,1939.0,52.38,
20240615,2521.0,8.8,
20240615,2706.0,70.14,
20250615,300.0,122.92,
20250615,1089.0,246.36,
20250615,1286.0,236.88,
20250615,1552.0,122.36,
20250615,1553.0,252.84,
20250615,1742.0,131.8,
20250615,2244.0,169.67,
20250615,2487.0,113.67,
20250615,2601.0,209.3,
20250615,2773.0,79.52,
20250615,2890.0,69.71,
20220115,300.0,187.48,
20220115,804.0,251.37,
20220115,1090.0,256.25,
