EmployeeKey,DateKey,WorkedHours,WorkedDays,Salary,HeadcountFlag,TenureMonths,DepartmentKey,PositionKey,date_fk
62.0,20250101.0,153.0,0.0,0.0,1.0,36.0,3.0,13.0,
62.0,20250101.0,99.0,0.0,0.0,1.0,36.0,3.0,13.0,
62.0,20231001.0,198.0,0.0,0.0,1.0,21.0,3.0,13.0,
62.0,20220101.0,180.0,0.0,0.0,1.0,0.0,3.0,13.0,
62.0,20230401.0,116.5,0.0,0.0,1.0,15.0,3.0,13.0,
62.0,20230301.0,174.0,0.0,0.0,1.0,14.0,3.0,13.0,
62.0,20250501.0,180.0,0.0,0.0,1.0,40.0,3.0,13.0,
62.0,20230101.0,180.0,0.0,0.0,1.0,12.0,3.0,13.0,
62.0,20240801.0,180.0,0.0,0.0,1.0,31.0,3.0,13.0,
62.0,20241101.0,189.0,0.0,0.0,1.0,34.0,3.0,13.0,
62.0,20220501.0,180.0,0.0,0.0,1.0,4.0,3.0,13.0,
62.0,20241001.0,207.0,0.0,0.0,1.0,33.0,3.0,13.0,
62.0,20240601.0,162.0,0.0,0.0,1.0,29.0,3.0,13.0,
62.0,20250301.0,126.0,0.0,0.0,1.0,38.0,3.0,13.0,
62.0,20230201.0,171.0,0.0,0.0,1.0,13.0,3.0,13.0,
62.0,20240201.0,189.0,0.0,0.0,1.0,25.0,3.0,13.0,
62.0,20230101.0,171.0,0.0,0.0,1.0,12.0,3.0,13.0,
62.0,20240301.0,145.0,0.0,0.0,1.0,26.0,3.0,13.0,
62.0,20220401.0,149.0,0.0,0.0,1.0,3.0,3.0,13.0,
62.0,20220601.0,189.0,0.0,0.0,1.0,5.0,3.0,13.0,
62.0,20241201.0,126.0,0.0,0.0,1.0,35.0,3.0,13.0,
62.0,20230801.0,162.0,0.0,0.0,1.0,19.0,3.0,13.0,
62.0,20240901.0,189.0,0.0,0.0,1.0,32.0,3.0,13.0,
62.0,20231201.0,144.0,0.0,0.0,1.0,23.0,3.0,13.0,
