id,date_fk,employee_fk,dept_fk,pos_fk,source,cost
1,20220614,1,1,1,,
2,20231211,2,2,2,,
3,20231222,3,3,3,,
4,20230315,4,1,4,,
5,20230828,5,4,5,,
6,20230328,6,1,6,,
7,20230328,7,3,7,,
8,20230102,8,1,8,,
9,20230102,9,1,8,,
10,20230102,10,1,8,,
11,20230110,11,3,9,,
12,20220711,12,1,1,,
13,20220713,13,1,1,,
14,20230116,14,5,10,,
15,20220718,15,1,1,,
16,20230424,16,1,4,,
17,20220801,17,3,11,,
18,20230502,18,1,4,,
19,20200203,19,4,5,,
20,20230504,20,6,12,,
21,20230206,21,2,13,,
22,20230207,22,7,14,,
23,20220809,23,1,1,,
24,20220809,24,1,1,,
25,20230215,25,7,15,,
26,20230303,26,6,16,,
27,20230821,27,2,13,,
28,20220822,28,8,17,,
29,20200303,29,9,18,,
30,20230307,30,4,19,,
31,20230607,31,1,1,,
32,20201207,32,4,5,,
33,20220309,33,3,9,,
34,20230328,34,4,19,,
35,20210930,35,9,20,,
36,20231009,36,2,21,,
37,20230710,37,1,1,,
38,20230411,38,10,22,,
39,20230721,39,1,1,,
40,20220421,40,11,23,,
41,20230424,41,12,24,,
42,20231030,42,4,5,,
43,20201030,43,2,25,,
44,20211101,44,9,18,,
45,20230502,45,3,26,,
46,20200504,46,4,5,,
47,20231110,47,4,5,,
48,20230821,48,13,27,,
49,20230822,49,3,28,,
50,20230822,50,1,4,,
51,20221128,51,1,29,,
52,20230829,52,1,4,,
53,20201130,53,4,5,,
54,20230907,54,1,4,,
55,20230907,55,1,1,,
56,20230908,56,11,23,,
57,20230609,57,9,18,,
58,20220615,58,14,30,,
59,20230619,59,9,20,,
60,20220620,60,6,31,,
61,20230102,61,1,1,,
62,20230102,62,1,4,,
63,20231002,63,1,4,,
64,20220103,64,6,16,,
65,20231003,65,15,32,,
66,20231012,66,1,6,,
67,20230116,67,1,4,,
68,20230717,68,6,33,,
69,20220718,69,14,30,,
70,20231023,70,1,1,,
71,20230508,71,16,34,,
72,20231115,72,14,35,,
73,20230220,73,1,4,,
74,20230825,74,4,36,,
75,20230901,75,16,37,,
76,20220907,76,9,38,,
77,20220908,77,4,19,,
78,20230918,78,2,13,,
79,20230922,79,7,15,,
80,20230922,80,1,8,,
81,20230922,81,2,13,,
82,20231004,82,4,19,,
83,20211004,83,2,13,,
84,20231016,84,12,39,,
85,20231017,85,8,17,,
86,20231020,86,2,40,,
87,20231023,87,12,41,,
88,20231027,88,17,42,,
89,20221116,89,1,8,,
90,20220606,90,1,1,,
91,19890601,91,4,43,,
92,19890901,92,13,44,,
93,19930101,93,4,45,,
94,19940901,94,18,46,,
95,19941101,95,6,47,,
96,19971101,96,16,48,,
97,19980922,97,14,49,,
98,19981103,98,2,50,,
99,19990301,99,16,51,,
100,20000119,100,4,52,,
101,20000401,101,16,53,,
102,20000804,102,4,43,,
103,20001114,103,4,54,,
104,20001201,104,3,3,,
105,20020208,105,14,55,,
106,20020212,106,4,56,,
107,20020226,107,4,56,,
108,20020416,108,4,54,,
109,20020418,109,6,57,,
110,20020729,110,16,58,,
111,20020909,111,4,56,,
112,20021007,112,3,59,,
113,20021028,113,1,8,,
114,20021111,114,14,60,,
115,20021111,115,2,61,,
116,20030129,116,4,54,,
117,20030204,117,4,56,,
118,20030303,118,4,62,,
119,20030505,119,3,63,,
120,20030901,120,4,56,,
121,20031216,121,4,64,,
122,20040105,122,4,52,,
123,20040106,123,4,56,,
124,20040524,124,6,65,,
125,20051010,125,14,66,,
126,20060403,126,1,29,,
127,20060509,127,5,67,,
128,20060821,128,3,68,,
129,20060829,129,6,69,,
130,20070115,130,4,64,,
131,20070621,131,11,23,,
132,20071021,132,11,70,,
133,20071024,133,11,23,,
134,20071029,134,4,56,,
135,20080117,135,4,64,,
136,20080502,136,6,47,,
137,20080512,137,4,5,,
138,20080716,138,11,23,,
139,20080721,139,11,70,,
140,20081015,140,4,71,,
141,20081016,141,2,72,,
142,20081021,142,11,73,,
143,20081119,143,9,74,,
144,20081120,144,4,54,,
145,20081222,145,6,75,,
146,20090127,146,1,4,,
147,20090129,147,4,76,,
148,20060821,148,2,77,,
149,20090409,149,9,78,,
150,20090417,150,1,1,,
151,20090601,151,10,79,,
152,20090819,152,4,5,,
153,20080825,153,2,80,,
154,20091019,154,6,81,,
155,20091111,155,4,5,,
156,20091125,156,7,82,,
157,20091229,157,6,81,,
158,20100104,158,1,4,,
159,20100104,159,1,1,,
160,20100114,160,4,5,,
161,20100125,161,1,4,,
162,20090126,162,1,29,,
163,20100622,163,2,83,,
164,20100630,164,6,47,,
