EmployeeKey,Gender,DepartmentKey,PositionKey,TenureMonths,Salary,TotalAbsenceDaysLastYear,TurnoverFlag
1,Masculin,1,1,41,0.0,25.6875,1
2,Féminin,2,22,41,0.0,21.5625,1
3,Masculin,1,2,41,0.0,24.25,1
4,Féminin,2,22,41,0.0,21.9375,1
5,Féminin,1,1,41,0.0,23.0625,1
6,Féminin,1,22,41,0.0,30.8125,1
7,Masculin,1,1,41,0.0,27.0625,1
8,Masculin,1,3,41,0.0,27.71875,1
9,Masculin,3,4,41,0.0,20.8125,1
10,Masculin,2,5,41,0.0,19.840909090875,1
11,Féminin,1,22,41,0.0,12.375,1
12,Féminin,1,22,41,0.0,28.375,1
13,Masculin,2,22,41,0.0,15.75,1
14,Masculin,4,6,41,0.0,21.375,1
15,Masculin,1,3,41,0.0,23.9375,1
16,Féminin,1,3,41,0.0,106.6875,1
17,Féminin,1,22,41,0.0,25.0625,1
18,Féminin,1,3,41,0.0,27.3125,1
19,Féminin,1,3,41,0.0,150.83125,1
20,Féminin,1,22,41,0.0,24.8125,1
21,Masculin,1,2,41,0.0,24.0,1
22,Masculin,1,3,41,0.0,26.75,1
23,Féminin,2,22,41,0.0,18.0625,1
24,Féminin,1,3,41,0.0,36.0,1
25,Féminin,4,22,41,0.0,21.6875,1
26,Féminin,1,22,41,0.0,9.5625,1
27,Féminin,1,3,41,0.0,21.9375,1
28,Masculin,3,7,39,0.0,18.6875,0
29,Féminin,1,3,41,0.0,38.0,1
30,Féminin,1,3,41,0.0,32.0625,1
31,Masculin,4,4,41,0.0,20.25,1
32,Féminin,1,1,41,0.0,14.0625,1
33,Féminin,1,3,41,0.0,135.18693548375,1
34,Masculin,1,3,41,0.0,54.0625,1
35,Masculin,1,3,41,0.0,20.25,1
36,Féminin,1,3,41,0.0,30.9375,1
37,Masculin,1,2,41,0.0,0.0,1
38,Masculin,1,3,41,0.0,27.75,1
39,Masculin,1,5,41,0.0,16.875,1
40,Féminin,1,22,41,0.0,14.625,1
41,Féminin,1,22,41,0.0,15.75,1
42,Féminin,1,8,41,0.0,23.9375,1
43,Masculin,1,9,41,0.0,24.0,1
44,Féminin,1,10,41,0.0,21.6875,1
45,Féminin,4,22,41,0.0,22.25,1
46,Féminin,1,3,41,0.0,24.625,1
47,Féminin,1,8,41,0.0,78.5625,1
48,Féminin,1,3,41,0.0,29.25,1
49,Féminin,1,8,41,0.0,14.125,1
50,Féminin,2,8,41,0.0,35.5,1
51,Féminin,1,8,41,0.0,23.625,1
52,Masculin,1,3,41,0.0,20.75,1
53,Masculin,1,3,41,0.0,26.4375,1
54,Masculin,1,2,41,0.0,16.625,1
55,Féminin,1,3,41,0.0,137.070529953875,1
56,Féminin,1,8,41,0.0,19.8125,1
57,Féminin,1,22,41,0.0,27.625,1
58,Masculin,1,11,41,0.0,20.875,1
59,Masculin,1,3,41,0.0,19.6875,1
60,Masculin,1,12,41,0.0,21.9375,1
61,Masculin,1,1,41,0.0,21.9375,1
62,Féminin,3,13,41,0.0,22.8125,1
63,Féminin,3,22,41,0.0,17.1875,1
64,Féminin,1,1,41,0.0,28.6875,1
65,Masculin,1,11,41,0.0,22.8125,1
66,Masculin,3,14,41,0.0,23.0625,1
67,Féminin,1,3,41,0.0,24.375,1
68,Féminin,1,3,41,0.0,44.5,1
69,Masculin,5,22,41,0.0,11.25,1
70,Masculin,1,3,41,0.0,20.3125,1
71,Féminin,1,3,41,0.0,206.282029569875,1
72,Masculin,1,2,41,0.0,29.0,1
73,Féminin,1,3,41,0.0,22.53125,1
74,Féminin,1,3,5,0.0,0.0,1
75,Féminin,2,22,41,0.0,28.46875,1
76,Masculin,1,2,41,0.0,34.125,1
77,Féminin,1,3,41,0.0,19.125,1
78,Féminin,3,13,41,0.0,16.0625,1
79,Féminin,3,14,41,0.0,16.0625,1
80,Masculin,3,13,41,0.0,28.6875,1
81,Masculin,1,11,41,0.0,23.375,1
82,Féminin,1,3,41,0.0,24.75,1
83,Masculin,2,22,41,0.0,19.20535714275,1
84,Masculin,1,9,41,0.0,25.25,1
85,Masculin,1,2,41,0.0,21.6875,1
86,Masculin,1,22,41,0.0,16.625,1
87,Féminin,1,3,41,0.0,86.625,1
88,Féminin,1,3,41,0.0,23.625,1
89,Féminin,2,22,41,0.0,19.625,1
90,Féminin,1,8,41,0.0,43.87535714275,1
91,Féminin,1,3,41,0.0,28.125,1
92,Féminin,1,3,41,0.0,178.60025641024998,1
93,Féminin,1,3,41,0.0,31.5,1
94,Féminin,1,8,41,0.0,48.55083333325,1
95,Masculin,1,3,41,0.0,21.375,1
96,Féminin,1,3,41,0.0,23.625,1
97,Masculin,5,5,41,0.0,14.0625,1
98,Féminin,1,1,41,0.0,29.8125,1
99,Masculin,1,3,41,0.0,50.9375,1
100,Féminin,1,3,41,0.0,123.62375,1
101,Masculin,1,1,41,0.0,25.375,1
102,Masculin,1,8,37,0.0,15.125,0
103,Masculin,1,8,41,0.0,31.875,1
104,Masculin,1,22,41,0.0,12.9375,1
105,Féminin,1,3,41,0.0,23.0625,1
106,Féminin,1,3,41,0.0,33.1875,1
107,Masculin,1,1,41,0.0,25.6875,1
108,Masculin,2,22,41,0.0,25.3125,1
109,Masculin,1,12,41,0.0,18.3125,1
110,Masculin,1,3,41,0.0,22.9375,1
111,Féminin,1,3,41,0.0,20.8125,1
112,Masculin,1,11,41,0.0,24.6875,1
113,Masculin,1,22,41,0.0,21.6875,1
114,Féminin,1,3,41,0.0,165.0975324675,1
115,Féminin,1,3,41,0.0,21.9375,1
116,Féminin,1,3,41,0.0,72.75,1
117,Féminin,1,3,41,0.0,216.000784313625,1
118,Féminin,2,22,41,0.0,15.1875,1
119,Masculin,1,11,41,0.0,22.5625,1
120,Féminin,1,3,41,0.0,327.372282608625,1
121,Masculin,1,12,41,0.0,17.4375,1
122,Féminin,1,22,41,0.0,22.5,1
123,Masculin,1,11,41,0.0,18.0,1
124,Féminin,1,3,37,0.0,28.6875,0
125,Féminin,1,3,41,0.0,22.5,1
126,Féminin,1,3,41,0.0,22.5,1
127,Masculin,1,1,41,0.0,33.25,1
128,Féminin,1,1,41,0.0,32.375,1
129,Masculin,1,3,41,0.0,37.28125,1
130,Masculin,1,12,41,0.0,23.875,1
131,Féminin,1,3,41,0.0,34.1875,1
132,Féminin,1,3,41,0.0,67.56088709675001,1
133,Féminin,2,22,41,0.0,23.7670454545,1
134,Féminin,1,3,41,0.0,24.625,1
135,Féminin,1,3,5,0.0,0.0,1
136,Féminin,1,3,41,0.0,36.5625,1
137,Masculin,1,2,41,0.0,1.125,1
138,Féminin,1,3,41,0.0,236.54874999999998,1
139,Féminin,1,3,41,0.0,38.0,1
140,Féminin,2,15,41,0.0,44.6875,1
141,Masculin,1,3,41,0.0,18.5625,1
142,Féminin,1,3,41,0.0,85.75,1
143,Masculin,1,2,41,0.0,24.6875,1
144,Masculin,1,3,41,0.0,50.3125,1
145,Masculin,1,22,41,0.0,30.6875,1
146,Féminin,1,22,41,0.0,30.375,1
147,Masculin,1,11,41,0.0,22.5625,1
148,Féminin,1,10,41,0.0,60.32875,1
149,Féminin,1,8,41,0.0,9.625,1
150,Féminin,1,22,41,0.0,89.938090175875,1
151,Masculin,1,2,41,0.0,21.125,1
152,Féminin,1,1,41,0.0,24.5,1
153,Féminin,1,3,41,0.0,21.9375,1
154,Féminin,1,3,41,0.0,26.75,1
155,Masculin,1,1,41,0.0,59.874642857125,1
156,Masculin,1,3,41,0.0,60.96,1
157,Masculin,1,11,41,0.0,11.0,1
158,Masculin,3,13,41,0.0,19.6875,1
159,Masculin,2,22,41,0.0,22.5,1
160,Féminin,1,3,41,0.0,29.8125,1
161,Masculin,2,16,41,0.0,4.5,1
162,Féminin,5,22,41,0.0,15.75,1
163,Masculin,2,22,41,0.0,32.375,1
164,Masculin,2,22,41,0.0,16.875,1
165,Masculin,2,5,41,0.0,3.0,1
166,Masculin,1,11,41,0.0,9.16,1
167,Féminin,3,13,38,0.0,16.3125,0
168,Féminin,3,13,41,0.0,17.4375,1
169,Féminin,2,22,41,0.0,14.0625,1
170,Masculin,1,11,41,0.0,23.625,1
171,Masculin,1,10,41,0.0,26.55,1
172,Masculin,5,22,41,0.0,23.625,1
173,Masculin,1,11,41,0.0,23.625,1
174,Masculin,1,3,41,0.0,37.125,1
175,Masculin,3,14,41,0.0,34.875,1
176,Masculin,1,10,41,0.0,18.0,1
177,Féminin,3,14,41,0.0,18.5625,1
178,Féminin,1,3,41,0.0,75.31125,1
179,Masculin,1,3,41,0.0,16.0625,1
180,Féminin,5,22,41,0.0,30.625,1
181,Féminin,1,1,41,0.0,62.25,1
182,Masculin,1,2,41,0.0,15.75,1
183,Féminin,1,8,41,0.0,25.9375,1
184,Masculin,3,22,41,0.0,38.25,1
185,Féminin,1,10,41,0.0,19.6875,1
186,Féminin,1,22,41,0.0,33.9375,1
187,Masculin,1,10,41,0.0,14.625,1
188,Féminin,1,3,41,0.0,22.5,1
189,Féminin,2,22,41,0.0,41.875,1
190,Féminin,1,10,21,0.0,20.875,1
191,Masculin,1,1,41,0.0,19.125,1
192,Féminin,1,3,41,0.0,28.125,1
193,Masculin,4,22,41,0.0,17.821428571375,1
194,Masculin,3,14,41,0.0,15.75,1
195,Féminin,1,1,41,0.0,22.8125,1
196,Masculin,1,2,41,0.0,20.25,1
197,Féminin,1,8,41,0.0,28.1875,1
198,Masculin,2,22,41,0.0,27.5625,1
199,Masculin,3,14,41,0.0,25.875,1
200,Féminin,1,3,41,0.0,28.125,1
201,Masculin,1,10,41,0.0,15.1875,1
202,Féminin,3,14,41,0.0,20.8125,1
203,Féminin,5,22,41,0.0,21.9375,1
204,Masculin,1,3,41,0.0,31.375,1
205,Masculin,1,2,41,0.0,18.3125,1
206,Féminin,1,12,41,0.0,21.9375,1
207,Féminin,2,22,41,0.0,72.937645511875,1
208,Féminin,1,3,41,0.0,24.75,1
209,Féminin,1,3,17,0.0,11.25,1
210,Masculin,3,14,41,0.0,17.4375,1
211,Masculin,1,3,41,0.0,20.8125,1
212,Masculin,1,3,41,0.0,29.25,1
213,Féminin,1,3,41,0.0,27.5625,1
214,Masculin,1,1,41,0.0,61.75,1
215,Féminin,1,3,41,0.0,28.125,1
216,Masculin,1,3,41,0.0,28.6875,1
217,Féminin,1,10,41,0.0,21.85,1
218,Masculin,4,22,41,0.0,24.75125,1
219,Féminin,6,22,41,0.0,17.3,1
220,Masculin,4,6,41,0.0,30.3125,1
221,Masculin,1,3,41,0.0,23.8125,1
222,Féminin,4,14,41,0.0,29.571428571375,1
223,Masculin,3,13,36,0.0,10.125,0
224,Masculin,1,11,41,0.0,24.1875,1
225,Masculin,3,14,41,0.0,21.9375,1
226,Masculin,3,17,41,0.0,21.437916666625,1
227,Féminin,4,22,41,0.0,24.75,1
228,Féminin,3,13,41,0.0,79.6875,1
229,Féminin,1,3,41,0.0,136.375,1
230,Masculin,3,14,41,0.0,25.0625,1
231,Féminin,3,13,41,0.0,24.1875,1
232,Féminin,5,10,29,0.0,30.6875,1
233,Féminin,2,22,41,0.0,20.25,1
234,Féminin,1,10,41,0.0,27.0,1
235,Masculin,1,11,41,0.0,24.875,1
236,Masculin,3,17,41,0.0,14.0625,1
237,Masculin,1,22,41,0.0,23.18708333325,1
238,Masculin,3,17,41,0.0,23.0625,1
239,Féminin,3,22,41,0.0,21.4375,1
240,Masculin,3,22,41,0.0,19.6875,1
241,Féminin,3,22,38,0.0,19.125,0
242,Masculin,3,22,41,0.0,18.3125,1
243,Féminin,1,11,33,0.0,20.25,1
244,Masculin,4,22,41,0.0,26.898026315750002,1
245,Féminin,3,22,41,0.0,20.8125,1
246,Féminin,1,1,33,0.0,27.875,1
247,Féminin,1,8,41,0.0,31.0175,1
248,Féminin,3,22,41,0.0,13.8125,1
249,Féminin,1,22,41,0.0,57.200657894624996,1
250,Féminin,3,22,41,0.0,24.9375,1
251,Féminin,3,22,41,0.0,12.6875,1
252,Féminin,3,22,41,0.0,25.3125,1
253,Féminin,4,22,36,0.0,16.9875,0
254,Féminin,3,22,41,0.0,11.8125,1
255,Féminin,3,22,30,0.0,22.25,1
256,Masculin,3,7,30,0.0,14.375,1
257,Masculin,3,22,30,0.0,16.625,1
258,Masculin,3,13,30,0.0,14.625,1
259,Féminin,4,22,30,0.0,32.6625,1
260,Masculin,3,13,30,0.0,13.5,1
261,Masculin,1,22,30,0.0,18.4375,1
262,Féminin,2,15,29,0.0,101.0,1
263,Féminin,1,10,29,0.0,25.3125,1
264,Masculin,1,1,29,0.0,31.5625,1
265,Féminin,1,1,29,0.0,23.625,1
266,Féminin,5,22,29,0.0,11.25,1
267,Masculin,6,22,29,0.0,20.0,1
268,Masculin,1,9,29,0.0,24.25,1
269,Féminin,2,22,29,0.0,14.0625,1
270,Féminin,1,10,29,0.0,20.8125,1
271,Masculin,1,11,29,0.0,32.0625,1
272,Masculin,1,11,28,0.0,6.375,0
273,Féminin,3,22,29,0.0,15.5,1
274,Féminin,1,10,8,0.0,3.375,1
275,Féminin,1,22,29,0.0,22.25,1
276,Féminin,2,22,22,0.0,11.8125,1
277,Féminin,1,1,22,0.0,25.9375,1
278,Féminin,3,22,22,0.0,14.9375,1
279,Féminin,2,22,22,0.0,24.375,1
280,Masculin,3,22,22,0.0,21.375,1
281,Féminin,5,22,21,0.0,25.625,1
282,Masculin,3,7,21,0.0,14.625,1
283,Féminin,1,10,21,0.0,18.5,1
284,Féminin,3,22,21,0.0,15.75,1
285,Féminin,2,22,17,0.0,22.5,0
286,Masculin,3,17,21,0.0,14.0625,1
287,Féminin,6,22,21,0.0,17.75,1
288,Féminin,5,22,20,0.0,34.3125,1
289,Féminin,3,22,20,0.0,14.625,1
290,Féminin,6,22,20,0.0,17.1875,1
291,Masculin,1,3,20,0.0,24.9375,1
292,Féminin,1,22,20,0.0,17.625,1
293,Féminin,3,22,14,0.0,13.5,0
294,Féminin,3,22,17,0.0,11.25,1
295,Masculin,1,11,17,0.0,10.125,1
296,Masculin,1,11,17,0.0,12.375,1
297,Féminin,1,10,17,0.0,10.125,1
298,Féminin,1,1,9,0.0,11.3125,0
299,Féminin,3,22,17,0.0,9.9375,1
300,Féminin,4,22,17,0.0,21.0,1
301,Féminin,3,22,17,0.0,46.0,1
302,Féminin,3,22,12,0.0,4.5,0
303,Féminin,4,22,12,0.0,14.625,0
304,Féminin,1,22,17,0.0,18.875,1
305,Féminin,3,22,17,0.0,19.125,1
306,Masculin,1,11,14,0.0,2.8125,0
307,Masculin,1,11,17,0.0,50.6875,1
308,Masculin,1,18,17,0.0,11.8125,1
309,Féminin,4,22,17,0.0,14.0625,1
310,Féminin,1,22,16,0.0,10.6875,0
311,Masculin,1,22,13,0.0,10.96875,0
312,Féminin,1,3,17,0.0,2.25,1
313,Féminin,3,22,17,0.0,12.6875,1
314,Masculin,3,13,17,0.0,12.375,1
315,Féminin,3,22,17,0.0,7.25,1
316,Féminin,4,22,17,0.0,9.0,1
317,Féminin,3,22,13,0.0,5.625,0
318,Masculin,1,1,17,0.0,63.0625,1
319,Féminin,2,22,17,0.0,2.25,1
320,Féminin,2,15,17,0.0,12.9375,1
321,Féminin,2,15,17,0.0,15.125,1
322,Masculin,3,7,17,0.0,15.8125,1
323,Féminin,1,1,17,0.0,12.125,1
324,Masculin,3,13,9,0.0,5.625,1
325,Féminin,3,17,9,0.0,3.9375,1
326,Féminin,3,17,8,0.0,2.8125,1
327,Féminin,1,8,7,0.0,7.625,1
328,Masculin,3,13,6,0.0,2.25,1
329,Féminin,3,22,6,0.0,3.125,1
330,Masculin,3,22,6,0.0,0.0,1
331,Féminin,3,22,6,0.0,3.5,1
332,Féminin,3,22,6,0.0,5.625,1
333,Féminin,3,22,4,0.0,5.625,0
334,Masculin,3,22,6,0.0,3.375,1
335,Féminin,3,22,2,0.0,0.0,0
336,Masculin,3,22,6,0.0,1.125,1
337,Féminin,3,14,5,0.0,3.9375,1
338,Masculin,3,14,5,0.0,0.875,1
339,Féminin,3,14,5,0.0,3.125,1
340,Masculin,3,22,5,0.0,4.5,1
341,Féminin,3,14,5,0.0,2.25,1
342,Féminin,3,14,5,0.0,0.75,1
343,Féminin,3,14,5,0.0,1.75,1
344,Féminin,3,14,5,0.0,1.125,1
345,Masculin,3,22,5,0.0,3.375,1
346,Masculin,2,22,5,0.0,0.0,1
347,Féminin,5,22,5,0.0,0.0,1
348,Féminin,4,22,5,0.0,3.375,1
349,Masculin,3,22,5,0.0,1.125,1
350,Masculin,2,22,5,0.0,7.875,1
351,Masculin,3,22,5,0.0,0.0,1
352,Masculin,3,7,41,0.0,16.375,1
353,Masculin,4,22,41,0.0,27.75,1
354,Féminin,3,14,41,0.0,25.6875,1
355,Féminin,3,14,41,0.0,21.6875,1
356,Féminin,3,14,41,0.0,186.43570906425,1
357,Masculin,3,13,41,0.0,21.9375,1
358,Masculin,3,22,41,0.0,24.8125,1
359,Féminin,3,22,29,0.0,16.875,1
360,Féminin,3,22,29,0.0,15.75,1
361,Féminin,3,22,29,0.0,25.125,1
362,Féminin,3,22,29,0.0,13.5,1
363,Féminin,3,22,22,0.0,30.6875,1
364,Féminin,3,22,22,0.0,18.875,1
365,Féminin,3,22,17,0.0,12.9375,1
366,Masculin,3,22,17,0.0,16.375,1
367,Masculin,3,7,17,0.0,14.625,1
368,Masculin,3,14,17,0.0,11.0,1
369,Féminin,3,22,10,0.0,8.4375,1
370,Féminin,3,13,9,0.0,7.0625,1
371,Masculin,1,8,5,0.0,0.0,1
372,Masculin,2,19,41,0.0,0.0,1
373,Masculin,1,8,5,0.0,0.0,1
374,Masculin,1,8,5,0.0,0.0,1
375,Masculin,1,8,5,0.0,0.0,1
376,Féminin,1,3,5,0.0,0.0,1
377,Masculin,3,22,5,0.0,0.0,1
378,Féminin,3,13,5,0.0,1.125,1
379,Féminin,3,22,5,0.0,1.125,1
380,Masculin,3,22,5,0.0,0.0,1
381,Féminin,3,22,5,0.0,2.25,1
382,Féminin,3,22,5,0.0,0.0,1
383,Féminin,3,22,5,0.0,0.0,1
384,Féminin,4,22,5,0.0,0.0,1
385,Féminin,3,14,5,0.0,1.125,1
386,Masculin,1,11,5,0.0,0.0,1
387,Masculin,1,22,5,0.0,0.0,1
388,Féminin,3,22,5,0.0,0.0,1
389,Féminin,3,22,5,0.0,0.0,1
390,Féminin,1,1,5,0.0,0.0,1
391,Masculin,3,14,5,0.0,4.25,1
392,Féminin,4,22,5,0.0,0.0,1
393,Féminin,3,22,5,0.0,0.0,1
394,Masculin,1,3,5,0.0,0.0,1
395,Masculin,1,8,5,0.0,0.0,1
396,Masculin,1,8,5,0.0,0.0,1
397,Masculin,1,8,5,0.0,0.0,1
398,Féminin,1,3,5,0.0,0.0,1
399,Féminin,1,8,5,0.0,0.0,1
400,Féminin,1,22,5,0.0,0.0,1
401,Féminin,1,3,5,0.0,0.0,1
402,Masculin,1,8,5,0.0,0.0,1
403,Féminin,3,22,5,0.0,0.0,1
404,Masculin,3,14,28,0.0,0.0,0
405,Féminin,1,3,33,0.0,64.46928571424999,0
406,Masculin,5,22,29,0.0,8.4375,1
407,Féminin,3,22,35,0.0,16.3125,0
408,Féminin,1,3,31,0.0,0.5625,0
409,Féminin,1,3,25,0.0,0.0,0
410,Féminin,2,22,29,0.0,0.5625,1
411,Masculin,1,3,27,0.0,0.0,0
412,Féminin,1,3,21,0.0,0.0,0
413,Féminin,1,3,24,0.0,0.0,0
414,Féminin,1,3,31,0.0,13.5,0
415,Féminin,3,14,29,0.0,3.375,1
416,Féminin,1,22,34,0.0,18.0,0
417,Masculin,3,14,34,0.0,58.59588709675,0
418,Masculin,3,17,21,0.0,0.0,0
419,Féminin,3,14,29,0.0,0.0,1
420,Féminin,3,13,25,0.0,0.0,0
421,Féminin,3,22,25,0.0,0.0,0
422,Masculin,3,13,29,0.0,2.25,1
423,Féminin,1,3,31,0.0,20.0625,0
424,Féminin,3,13,29,0.0,0.0,1
425,Masculin,1,11,24,0.0,0.0,0
426,Féminin,3,14,35,0.0,19.125,0
427,Féminin,3,14,26,0.0,0.0,0
428,Féminin,3,17,27,0.0,0.0,0
429,Féminin,3,14,29,0.0,0.0,1
430,Féminin,3,13,21,0.0,0.0,0
431,Féminin,3,14,29,0.0,0.0,1
432,Masculin,3,14,25,0.0,0.0,0
433,Masculin,3,17,33,0.0,5.625,0
434,Féminin,5,22,27,0.0,0.0,0
435,Masculin,3,17,23,0.0,0.0,0
436,Masculin,3,14,33,0.0,24.75,0
437,Féminin,2,15,29,0.0,4.5,1
438,Masculin,1,11,24,0.0,0.0,0
439,Féminin,1,1,29,0.0,2.8125,1
440,Masculin,1,18,26,0.0,0.0,0
441,Féminin,3,22,31,0.0,7.875,0
442,Masculin,3,22,29,0.0,0.0,1
443,Masculin,1,1,24,0.0,0.0,0
444,Masculin,1,22,24,0.0,0.0,0
445,Masculin,1,22,24,0.0,0.0,0
446,Féminin,3,22,25,0.0,0.0,0
447,Féminin,3,22,29,0.0,1.125,1
448,Féminin,3,22,29,0.0,0.0,1
449,Féminin,1,22,24,0.0,0.0,0
450,Féminin,1,1,9,0.0,0.0,0
451,Masculin,2,22,25,0.0,15.1875,0
452,Masculin,1,11,14,0.0,0.0,0
453,Masculin,3,7,19,0.0,0.0,0
454,Féminin,3,22,14,0.0,0.0,0
455,Masculin,1,22,13,0.0,0.0,0
456,Féminin,5,22,23,0.0,12.375,0
457,Masculin,3,13,23,0.0,22.5,0
458,Masculin,1,22,13,0.0,0.0,0
459,Féminin,3,13,13,0.0,0.0,0
