id,name,dept,role,salary,age
02754,Agent,FOE,Superviseur Médical,0,35
02943,Agent,FOE,Délégué Médical,0,35
02944,Agent,FOE,Visiteur Médical,0,35
02756,Agent,FOE,Superviseur Médical,0,35
02753,Agent,FOE,Superviseur Médical,0,35
02768,Agent,FOE,Chef de Produit,0,35
02826,Agent,FOE,Visiteur Médical,0,35
02772,Agent,INDUS,Pharmacien Responsable Technique,0,35
20045,Agent,FOE,Visiteur Médical,0,35
02867,Agent,INDUS,Technicien Maintenance Process,0,35
02873,Agent,INDUS,Analyste Contrôle Qualité,0,35
02780,Agent,INDUS,Analyste Contrôle Qualité,0,35
02641,Agent,RD,Analyste Developpement,0,35
20050,Agent,FOE,Visiteur Médical,0,35
20049,Agent,FOE,Visiteur Médical,0,35
02900,Agent,FOE,Visiteur Médical,0,35
02829,Agent,RD,Assistante de direction,0,35
02810,Agent,INDUS,Analyste Contrôle Qualité,0,35
20046,Agent,FOE,Délégué Médical,0,35
02887,Agent,SHO,Chef de Produit,0,35
02832,Agent,FOE,Délégué Médical,0,35
02904,Agent,INDUS,Acheteur,0,35
02942,Agent,INDUS,Opératrice d'Hygiene,0,35
20047,Agent,FOE,Délégué Médical,0,35
02836,Agent,FOE,Visiteur Médical,0,35
02795,Agent,INDUS,Chef de Bloc,0,35
02906,Agent,SHO,CRM Specialist,0,35
02715,Agent,INDUS,Spécialiste Assurance Qualité,0,35
02802,Agent,INDUS,Chef de Bloc,0,35
02918,Agent,FOE,Délégué Médical,0,35
02917,Agent,FOE,Visiteur Pharmaceutique,0,35
02842,Agent,FOE,Délégué Médical,0,35
02341,Agent,INDUS,Analyste Microbiologie,0,35
02926,Agent,FOE,Visiteur Médical,0,35
02928,Agent,FOE,Visiteur Médical,0,35
02803,Agent,RD,Innovation Manager,0,35
02845,Agent,FOE,Visiteur Pharmaceutique,0,35
02898,Agent,SHO,Chef de Produit,0,35
02850,Agent,FOE,Visiteur Médical,0,35
02805,Agent,MEDIM,Medical Manager,0,35
02808,Agent,GA,Comptable,0,35
02495,Agent,INDUS,Opérateur de Production,0,35
02665,Agent,INDUS,Technicien Maintenance Utilites,0,35
02934,Agent,GA,Spécialiste Ressources Humaines (SALES),0,35
02899,Agent,INDUS,Pharmacien Assurance Qualité,0,35
02853,Agent,INDUS,Opérateur de Production,0,35
02459,Agent,INDUS,Opérateur de Production,0,35
02854,Agent,INDUS,Patient Centricity,0,35
02935,Agent,FOE,Visiteur Médical,0,35
20052,Agent,FOE,Visiteur Médical,0,35
02901,Agent,INDUS,Responsable Maintenance et Ingenierie,0,35
02902,Agent,INDUS,Technicien Maintenance Utilites,0,35
20053,Agent,FOE,Délégué Médical,0,35
02816,Agent,INDUS,Technicien Maintenance Utilites,0,35
02820,Agent,INDUS,Technicien Maintenance Process,0,35
20054,Agent,FOE,Délégué Médical,0,35
02940,Agent,FOE,Visiteur Pharmaceutique,0,35
02939,Agent,FOE,Délégué Médical,0,35
20051,Agent,FOE,Superviseur Médical,0,35
02912,Agent,INDUS,PHARMACIEN CHARGE CONTROLE QUALITE,0,35
02913,Agent,INDUS,Responsable des Magasins,0,35
02930,Agent,INDUS,Pharmacien Chargé des Opérations de Production,0,35
02931,Agent,GA,Standardiste et Bureau d'Ordre,0,35
02828,Agent,INDUS,"Responsable Achat, Approvisionment et Transit",0,35
02865,Agent,FOE,Délégué Médical,0,35
02866,Agent,INDUS,Technicien Maintenance Process,0,35
02932,Agent,GA,HR Development Specialist,0,35
02941,Agent,FOE,Visiteur Pharmaceutique,0,35
02936,Agent,INDUS,Pharmacien  CQ Chargée de la Stabilité,0,35
02886,Agent,FOE,Visiteur Médical,0,35
02831,Agent,INDUS,Pharmacien Contrôle Qualité,0,35
02833,Agent,GA,Administrateur Facturation Clients,0,35
02878,Agent,INDUS,Chef de Bloc,0,35
02890,Agent,FOE,Visiteur Médical,0,35
02841,Agent,INDUS,Analyste Contrôle Qualité,0,35
02840,Agent,FOE,Superviseur Médical,0,35
02662,Agent,INDUS,Analyste Contrôle Qualité,0,35
02847,Agent,MEDIM,MSL,0,35
02706,Agent,INDUS,Opératrice d'Hygiene,0,35
02851,Agent,MEDIM,Pharmacovigilance Manager,0,35
02827,Agent,INDUS,Analyste Contrôle Qualité,0,35
02601,Agent,INDUS,Opérateur de Production,0,35
20044,Agent,FOE,Visiteur Médical,0,35
01077,Agent,INDUS,Opérateur de Fabrication,0,35
20042,Agent,FOE,Délégué Médical,0,35
20043,Agent,FOE,Délégué Médical,0,35
01595,Agent,INDUS,Analyste Junior,0,35
02807,Agent,INDUS,Responsable Magasin Produits Finis,0,35
02839,Agent,RD,Spécialiste en Technologie Pharmaceutique,0,35
02849,Agent,RD,R&D Spécialiste Assurance Qualité,0,35
02687,Agent,INDUS,"Responsable Environnement, Hygiène et Sécurité",0,35
02697,Agent,INDUS,Spécialiste Assurance Qualité,0,35
01765,Agent,INDUS,Acheteur,0,35
02452,Agent,INDUS,Administrateur Facturation Clients,0,35
00514,Agent,INDUS,Administrateur Import/Export,0,35
01796,Agent,INDUS,Administrateur Import/Export,0,35
00718,Agent,INDUS,Administration Facturation clients Senior,0,35
01378,Agent,INDUS,Agent de Sécurité,0,35
01379,Agent,INDUS,Agent de Sécurité,0,35
01708,Agent,INDUS,Agent de Transit,0,35
02302,Agent,RD,Analysis Coordinator,0,35
02451,Agent,INDUS,Analyste Contrôle Qualité,0,35
02419,Agent,RD,Spécialiste en Technologie Pharmaceutique,0,35
02521,Agent,INDUS,Analyste Junior,0,35
02290,Agent,INDUS,Analyste Junior,0,35
02154,Agent,INDUS,Analyste Junior,0,35
02394,Agent,INDUS,Analyste Junior,0,35
01989,Agent,INDUS,Analyste Junior,0,35
00717,Agent,INDUS,Analyste Microbiologie Senior,0,35
00086,Agent,INDUS,Assistante Contrôle Qualité,0,35
00013,Agent,GA,Assistante de Direction Général,0,35
00386,Agent,SHO,Assistante des Opérations,0,35
00327,Agent,INDUS,Assistante Magasin Mp/Ace,0,35
00676,Agent,INDUS,Assistante Pharmacien Responsable Technique,0,35
01336,Agent,INDUS,Assistante Qualité de Production,0,35
01065,Agent,RD,Business Development Manager,0,35
01981,Agent,GA,Cadre Financier et Responsable  Portefeuille Assurance,0,35
01272,Agent,GA,Chargé de la Trésorerie,0,35
01502,Agent,INDUS,Chargé de Qualification des Équipements des Laboratoires,0,35
01010,Agent,INDUS,Chargée de la  vignetteuse,0,35
01715,Agent,GA,Chargée de L'Administration des Ressources Humaines,0,35
00361,Agent,GA,Chargée des Relations avec L'Administration,0,35
00303,Agent,INDUS,Chargée Gestion Documentaire,0,35
00210,Agent,INDUS,Chargée Revue de Lot,0,35
01895,Agent,GA,Chauffeur,0,35
02368,Agent,INDUS,Chef de Bloc,0,35
01317,Agent,INDUS,Chef de Chaine,0,35
00307,Agent,INDUS,Chef de Chaine,0,35
01690,Agent,INDUS,Chef de Chaine,0,35
00304,Agent,INDUS,Chef de Chaine,0,35
00300,Agent,INDUS,Chef de Chaine,0,35
00453,Agent,INDUS,Chef de Chaine,0,35
