COST CENTER,FUNCTIONAL AREA,janvier-26,février-26,,YTD BGT Average,Diff BGT,,
DAF,F.A. Finance,11,11,,11.00,-,-,
CG,F.A. Finance,3,3,,3.00,-,-,
GRH,F.A. Human Resources,5,5,,5.00,-,-,
ITM,F.A. Information Technology,7,7,,8.00,-1.00,-,
DG,F.A. General management,3,3,,3.00,-,-,
AFF-JUR,F.A. General management,2,2,,2.00,-,-,
FOE,F.A. FOE,95,100,,101.00,-1.00,5.00,5 vacant positions
MKTING-COM,F.A. Marketing & ComEx,8,8,,12.00,-4.00,-,
SHO,F.A. Central Office (Sede),4,4,,4.00,-,-,
SHO-EXPORT,F.A. Central Office (Sede),2,2,,2.00,-,-,
MEDIMARK,F.A. Medical Affairs,4,4,,4.00,-,-,
DEVAMM,F.A. Non-Clinical Development,7,7,,8.00,-1.00,-,
AFF-REG,F.A. Regulatory,3,3,,3.00,-,-,
BUSDEV,F.A. R&D Cross Functions,2,2,,2.00,-,-,
