,,,,,,,,,,,,,,,
,ANNUAL - INDUS - RESIGNATIONS/DISMISSALSS 2026,,,,,,NB : Data developed following exit interviews,,,,,,,,
,,,,,,,Dismissal,,,,Resignation,,,,
Mat.,Hiring Date,Anc: An/M/J,Position,Date of departure,Dismissal/ Resignation,Reason of departure,Performance Issues,Misconduct/ Attendance Problems,Problem with managers or collaborateurs,Others,Compensation and benefits,Working laod /Job Satisfaction/ Work-Life Balance,Quality of direct management/Work Environment,Retirement/Death,personal reasons / Career change / Career Advancement
03041,8/27/2025,0a/4m/5j,DATA ENGINEER,1/1/2026,Resignation,volontary resignation,,,,,,,,,*
02936,8/19/2024,1a/4m/21j,Pharmacien  CQ Chargée de la Stabilité,1/9/2026,Resignation,volontary resignation,,,,,,,*,,
02828,7/17/2023,2a/7m/0j,"Responsable Achat, Approvisionment et Transit",2/17/2026,Resignation,volontary resignation,,,,,,,*,,
01089,8/19/2009,16a/6m/1j,Opérateur de Production,2/20/2026,Resignation,agreement on contract resolution,,,,,,,,,
03067,1/19/2026,0a/0m/16j,Opérateur de Production,2/4/2026,Resignation,volontary resignation,,,,,,*,*,,
00895,5/2/2008,17a/9m/25j,Magasinier (Mp/Ace)      ,2/27/2026,Resignation,Death,,,,,,,,*,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,1,3,1,1
0,,,,,,,,,,,,,,,
NB INDUS RESIGNATIONS/DISMISSALSS 2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Dismissal,Resignation,,,,,,,,,,,,,
INDUS,0,6,,,,,,,,,,,,,
,TOTAL,6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
