,,04/05/2026 17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETAT TPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Du 21/07/2025 au 31/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01715,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matricule,,Présence badgée,Présence badgée validée,Heures totales,Cumul Abs vers la paie,Absence vers la paie en jour,HS75,HSUP100%,MISSION,FORM,MALAD,MATERNITE,RC.ALLAIT,AC.TRAJET,AC.TRAVAIL,ARRET TRV,AUTO,CSS,CPAT,CMAR,CNAIS,CDESES,CP.EX,CIR,M.A.P,VALHS,FERIE,VALHR,CP
00007,,72.41,71.56,80.56,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00013,,62.19,59.06,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13.50
00041,,65.55,62.53,80.53,0.03,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00042,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00075,,73.43,69.43,80.43,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0.00
00086,,75.29,71.59,80.59,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00096,,75.59,71.59,80.59,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00107,,75,71.58,80.58,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00112,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00120,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00210,,72.48,71.57,80.57,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00221,,38,36,81,0,0.0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00230,,38,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
00259,,0,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
00294,,68.09,67.15,80.45,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4.50
00300,,0,0,81,0,0.0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
00303,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00304,,71.12,71.12,80.12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00307,,0,0,81,0,0.0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
00327,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00329,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00332,,71.55,71.54,83.53,0,0.0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,9,0,0.00
00361,,63.48,56.51,65.51,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00372,,53.27,53.26,80.26,0.25,0.0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00386,,30.19,27,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,45.00
00396,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00399,,73.41,71.11,80.54,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,9,0,0.00
00417,,45.58,43.21,54,18,0.0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,9,0,0.00
00419,,72.15,71.38,80.38,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00420,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00421,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00453,,71.41,71.29,80.29,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00469,,73.55,70.25,83.35,0,0.0,1.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.1,9,0,0.00
00480,,75.31,72,86.1,0,0.0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,9,0,0.00
00482,,71.5,71.33,80.33,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00514,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00530,,64.31,61.31,80.31,0.17,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,9.00
00574,,0,58.3,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13.50
00621,,74.05,70.05,81,0,0.0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,9,0,0.00
00676,,73.54,70.41,81,0,0.0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,9,0,0.00
00677,,80.45,71.29,81,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0.00
00712,,70.15,67.15,76.15,0,0.0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.26,0.00
00717,,35.51,34.04,61.04,17.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18.00
00718,,38,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
00759,,74.33,71.27,83.47,0.03,0.0,0,0.29,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,2.5,9,0.29,0.00
00804,,0,0,81,0,0.0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
00817,,72.34,71,80.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,9,0,0.00
00832,,75.32,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00833,,74.47,70.25,79.25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00851,,75.59,71.59,80.59,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00856,,75.58,71.37,80.37,0,0.0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.14,0.00
00859,,73.09,70.39,79.39,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00895,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00902,,70.59,70.59,79.59,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00927,,75.51,71.51,80.51,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00954,,73.14,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,9,0,0.00
00957,,37.47,35.47,80.47,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
00961,,75.54,71.54,80.54,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00964,,73.05,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
00966,,74.35,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01002,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01004,,0,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
01010,,74.37,71.2,80.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01030,,72.51,70,79,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01033,,0,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
01045,,72.09,71.54,80.54,0,0.0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.28,0.00
01046,,26.31,26.31,35.31,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01065,,24.41,45,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,27.00
01077,,75.56,71.56,86.5,0,0.0,1.27,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,9,0.12,0.00
01089,,0,0,81,0,0.0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
01105,,74.58,70.58,80.58,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0.00
01120,,73.2,71.5,80.5,0,0.0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.3,0.00
01121,,71.04,71.04,81.29,0.26,0.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,9,8,0.00
01127,,37.48,35.18,44.18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01129,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01135,,71.19,71.14,80.14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01137,,0,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
01141,,0,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
01160,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01181,,74.11,71.11,80.11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01198,,71.24,71.23,80.23,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01204,,64.35,61.35,70.35,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01207,,66.3,63,72,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01224,,9.3,9,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,63.00
01240,,56.43,53.43,80.43,0.17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18.00
01250,,72.06,68.36,79.36,0.57,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0.00
01253,,71.41,71.32,80.32,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01272,,66.1,62.4,80.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.00
01276,,74,70.12,81,0,0.0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,9,0,0.00
01279,,71.18,71.14,80.14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01286,,0,0,81,0,0.0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
01293,,61.53,60.57,69.57,0,0.0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.22,0.00
