,MAT.,  Mr/   Mde,OP/RECO,SPC/ IND,SITE,code headcount,AREA,SERVICE,DIRECTION,DATE DE SORTIE,Reasons,
,02898,Female,OPALIA,SPC,LAC,PM,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,1/8/2025,volontary resignation,
,02733,Female,OPALIA,SPC,LAC,DMS,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,1/20/2025,agreement on contract resolution,
,02928,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,1/29/2025,volontary resignation,
,02913,Male,OPALIA,INDUSTRIAL,KALAA,LOG,PRODUCTION,Logistique,Direction de Logistique,1/30/2025,Dismissal after an inconclusive test period,
,02950,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,2/10/2025,volontary resignation,
,01378,Male,OPALIA,INDUSTRIAL,KALAA,EHS,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,2/13/2025,Retirement,
,02843,Female,OPALIA,SPC,KALAA,CG,GENERAL ADMINISTRATION MANAGEMENT (G&A),Contrôle de Gestion,Direction Contrôle de Gestion,2/20/2025,volontary resignation,
,01958,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,2/25/2025,volontary resignation,
,02681,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,2/25/2025,volontary resignation,
,01615,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,2/21/2025,agreement on contract resolution,
,01121,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,3/3/2025,expiry of temporary contract,
,02886,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,3/28/2025,volontary resignation,
,02901,Male,OPALIA,INDUSTRIAL,KALAA,MAINT,PRODUCTION,Maintenance,Direction Industrielle,3/20/2025,Dismissal after an inconclusive test period,
,02677,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,4/4/2025,volontary resignation,
,02948,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,4/11/2025,Dismissal after an inconclusive test period,
,02820,Male,OPALIA,INDUSTRIAL,KALAA,MAINT,PRODUCTION,Maintenance,Direction Industrielle,4/22/2025,volontary resignation,
,01695,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,4/20/2025,expiry of temporary contract,
,00402,Male,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,4/4/2025,agreement on contract resolution,
,02985,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,4/23/2025,expiry of temporary contract,
,02984,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,4/23/2025,expiry of temporary contract,
,02912,Female,OPALIA,INDUSTRIAL,KALAA,CQ,PRODUCTION,Contrôle Qualité,Direction Management Qualité,5/5/2025,volontary resignation,
,20052,Male,recordati,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,5/1/2025,volontary resignation,
,02641,Female,OPALIA,SPC,KALAA,DEVAMM,RESEARCH AND DEVELOPMENT (R&D),Developpement,Direction de Développement,5/23/2025,volontary resignation,
